ff,00,00
ff,ff,ff
00,00,00
00,00,00
ff,ff,ff
00,00,00
ff,ff,ff
00,00,00
00,ff,b3
ff,ff,ff
00,00,00
ff,ff,ff
00,00,00
ff,ff,ff
00,00,00
ff,ff,ff
