f5,7e,b6
ff,ff,ff
00,7a,ff
ff,ff,ff
c8,c8,c8
ff,ff,ff
66,ff,66
ff,ff,ff
ff,00,00
ff,ff,ff
ff,cc,aa
ff,ff,ff
40,e0,d0
ff,ff,ff
46,4b,50
ff,ff,ff
